data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi,totale_positivi_test_molecolare,totale_positivi_test_antigenico_rapido,tamponi_test_molecolare,tamponi_test_antigenico_rapido,codice_nuts_1,codice_nuts_2
2020-02-24T18:00:00,ITA,16,Puglia,41.12559576,16.86736689,0,0,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,
2020-02-25T18:00:00,ITA,16,Puglia,41.12559576,16.86736689,0,0,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,
2020-02-26T18:00:00,ITA,16,Puglia,41.12559576,16.86736689,0,0,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,
2020-02-27T18:00:00,ITA,16,Puglia,41.12559576,16.86736689,1,0,1,0,1,1,1,0,0,,,1,0,,,,,,,,,,,
2020-02-28T18:00:00,ITA,16,Puglia,41.12559576,16.86736689,1,0,1,2,3,2,2,0,0,,,3,242,,,,,,,,,,,
2020-02-29T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,1,0,1,2,3,0,0,0,0,,,3,252,,,,,,,,,,,
2020-03-01T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,1,0,1,2,3,0,0,0,0,,,3,262,,,,,,,,,,,
2020-03-02T18:00:00,ITA,16,Puglia,41.12559576,16.86736689,2,0,2,2,4,1,1,0,0,,,4,278,,,,,,,,,,,
2020-03-03T18:00:00,ITA,16,Puglia,41.12559576,16.86736689,2,0,2,4,6,2,2,0,0,,,6,298,,,,,,,,,,,
2020-03-04T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,4,0,4,3,7,1,3,1,1,,,9,322,,,,,,,,,,,
2020-03-05T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,5,1,6,6,12,5,5,1,1,,,14,359,,,,,,,,,,,
2020-03-06T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,5,1,6,9,15,3,3,1,1,,,17,395,,,,,,,,,,,
2020-03-07T18:00:00,ITA,16,Puglia,41.12559576,16.86736689,9,2,11,12,23,8,9,1,2,,,26,395,,,,,,,,,,,
2020-03-08T18:00:00,ITA,16,Puglia,41.12559576,16.86736689,17,3,20,16,36,13,14,1,3,,,40,627,,,,,,,,,,,
